,Date,month,Open,High,Low,Close,Volume,Market Cap,Mean,normalize,Diff,Class
0,7-Nov-17,Nov,7023.1,7253.32,7023.1,7144.38,"2,326,340,000","117,056,000,000",7083.74,5.626075801,,FALSE
1,6-Nov-17,Nov,7213.81,7435.4,7178.145,7275.895,"3,111,900,000","123,379,000,000",7244.8525,5.77088334,0.144807539,FALSE
2,5-Nov-17,Nov,7404.52,7617.48,7333.19,7407.41,"2,380,410,000","123,388,000,000",7405.965,5.915690879,0.144807539,TRUE
3,4-Nov-17,Nov,7246.025,7539.385,7168.065,7307.585,"2,483,800,000","119,376,000,000",7276.805,5.799602172,-0.116088707,TRUE
4,3-Nov-17,Nov,7011.8975,7453.3575,6963.3925,7193.0425,"3,369,860,000","118,084,000,000",7102.47,5.642910281,-0.156691891,TRUE
5,2-Nov-17,Nov,6726.43375,7110.33375,6670.63625,6980.17625,"4,653,770,000","112,910,000,000",6853.305,5.418961361,-0.22394892,TRUE
6,1-Nov-17,Nov,6429.226875,6790.381875,6386.983125,6724.288125,"2,870,320,000","107,287,000,000",6576.7575,5.170401113,-0.248560248,TRUE
7,31-Oct-17,Oct,6272.038438,6502.685938,6213.916563,6427.409063,"2,311,380,000","102,130,000,000",6349.72375,4.966343708,-0.204057405,TRUE
8,30-Oct-17,Oct,6013.239219,6379.197969,5969.248281,6290.629531,"1,772,150,000","101,833,000,000",6151.934375,4.78857108,-0.177772629,TRUE
9,29-Oct-17,Oct,5900.529609,6127.958984,5829.219141,6021.859766,"2,859,040,000","95,819,800,000",5961.194688,4.617134694,-0.171436386,TRUE
10,28-Oct-17,Oct,5787.82,5876.72,5689.19,5753.09,"1,403,920,000","96,369,600,000",5770.455,4.445698308,-0.171436386,FALSE
11,27-Oct-17,Oct,5899.74,5988.39,5728.82,5780.9,"1,710,130,000","98,225,400,000",5840.32,4.508492807,0.062794499,FALSE
12,26-Oct-17,Oct,5747.95,5976.8,5721.22,5904.83,"1,905,040,000","95,685,100,000",5826.39,4.495972555,-0.012520251,TRUE
13,25-Oct-17,Oct,5524.6,5754.33,5397.88,5750.8,"1,966,990,000","91,954,200,000",5637.7,4.326378424,-0.169594132,TRUE
14,24-Oct-17,Oct,5935.52,5935.52,5504.18,5526.64,"2,735,700,000","98,781,600,000",5731.08,4.41030815,0.083929726,FALSE
15,23-Oct-17,Oct,6006,6075.59,5732.47,5930.32,"2,401,840,000","99,941,600,000",5968.16,4.6233951,0.213086951,FALSE
16,22-Oct-17,Oct,6036.66,6076.26,5792.34,6008.42,"2,034,630,000","100,438,000,000",6022.54,4.672271717,0.048876617,FALSE
17,21-Oct-17,Oct,5996.79,6194.88,5965.07,6031.6,"2,207,100,000","99,763,200,000",6014.195,4.664771251,-0.007500467,TRUE
18,20-Oct-17,Oct,5790.265,5969.615,5748.065,5870.06,"2,354,430,000","94,947,900,000",5830.1625,4.499363269,-0.165407982,TRUE
19,19-Oct-17,Oct,5583.74,5744.35,5531.06,5708.52,"1,780,540,000","92,867,000,000",5646.13,4.333955288,-0.165407982,TRUE
20,18-Oct-17,Oct,5603.82,5603.82,5151.44,5590.69,"2,399,270,000","93,190,200,000",5597.255,4.290026552,-0.043928736,FALSE
21,17-Oct-17,Oct,5741.58,5800.35,5472.72,5605.51,"1,821,570,000","95,469,300,000",5673.545,4.358595826,0.068569274,FALSE
22,16-Oct-17,Oct,5687.57,5776.23,5544.21,5725.59,"2,008,070,000","94,559,000,000",5706.58,4.388287607,0.029691781,TRUE
23,15-Oct-17,Oct,5835.96,5852.48,5478.61,5678.19,"1,976,040,000","97,011,900,000",5757.075,4.433672395,0.045384788,FALSE
24,14-Oct-17,Oct,5643.53,5837.7,5591.64,5831.79,"1,669,030,000","93,803,000,000",5737.66,4.416222238,-0.017450157,TRUE
25,13-Oct-17,Oct,5236.555,5642.305,5206.82,5639.35,"3,615,480,000","90,812,400,000",5437.9525,4.146845837,-0.269376402,TRUE
26,12-Oct-17,Oct,5012.9025,5258.0175,4979.225,5232.915,"2,791,610,000","80,256,700,000",5122.90875,3.863685249,-0.283160587,TRUE
27,11-Oct-17,Oct,4789.25,4873.73,4751.63,4826.48,"1,222,280,000","79,578,200,000",4807.865,3.580524662,-0.283160587,TRUE
28,10-Oct-17,Oct,4776.21,4922.17,4765.1,4781.99,"1,597,140,000","79,351,800,000",4779.1,3.554670747,-0.025853915,TRUE
29,9-Oct-17,Oct,4614.52,4878.71,4564.25,4772.02,"1,968,740,000","76,656,500,000",4693.27,3.477526944,-0.077143804,TRUE
30,8-Oct-17,Oct,4491.935,4661.295,4442.65,4599.455,"1,313,870,000","73,575,400,000",4545.695,3.344886878,-0.132640066,TRUE
31,7-Oct-17,Oct,4369.35,4443.88,4321.05,4426.89,"906,928,000","72,565,100,000",4398.12,3.212246813,-0.132640066,TRUE
32,6-Oct-17,Oct,4324.46,4413.27,4320.53,4370.81,"1,069,940,000","71,810,600,000",4347.635,3.166871012,-0.0453758,TRUE
33,5-Oct-17,Oct,4229.88,4362.64,4164.05,4328.41,"1,161,770,000","70,233,700,000",4279.145,3.10531236,-0.061558652,TRUE
34,4-Oct-17,Oct,4319.37,4352.31,4210.42,4229.36,"1,116,770,000","71,712,500,000",4274.365,3.101016107,-0.004296253,FALSE
35,3-Oct-17,Oct,4408.46,4432.47,4258.89,4317.48,"1,288,020,000","73,181,300,000",4362.97,3.180654075,0.079637967,FALSE
36,2-Oct-17,Oct,4395.81,4470.23,4377.46,4409.32,"1,431,730,000","72,963,200,000",4402.565,3.216241968,0.035587894,TRUE
