,Date,Open,High,Low,Close,Volume,Market Cap,Mean,normalize,Diff,Class
0,"Nov 07, 2017",7023.1,7253.32,7023.1,7144.38,2326340000.0,1.17056e+11,7083.74,5.62465421031,,False
1,"Nov 06, 2017",7213.81,7435.4,7178.145,7275.895,2353375000.0,1.20222e+11,7244.8525,5.76943480044,0.144780590134,False
2,"Nov 05, 2017",7404.52,7617.48,7333.19,7407.41,2380410000.0,1.23388e+11,7405.965,5.91421539058,0.144780590134,True
3,"Nov 04, 2017",7246.025,7539.385,7168.065,7307.585,2875135000.0,1.20736e+11,7276.805,5.79814828826,-0.116067102315,True
4,"Nov 03, 2017",7011.8975,7453.3575,6963.3925,7193.0425,3764452500.0,1.16823e+11,7102.47,5.64148555768,-0.156662730583,True
5,"Nov 02, 2017",6726.43375,7110.33375,6670.63625,6980.17625,3317386250.0,1.12055e+11,6853.305,5.41757831435,-0.223907243329,True
6,"Nov 01, 2017",6429.226875,6790.381875,6386.983125,6724.288125,2814383125.0,1.070925e+11,6576.7575,5.16906432413,-0.248513990225,True
7,"Oct 31, 2017",6272.0384375,6502.6859375,6213.9165625,6427.4090625,2293266562.5,1.0446275e+11,6349.72375,4.96504489481,-0.204019429314,True
8,"Oct 30, 2017",6013.23921875,6379.19796875,5969.24828125,6290.62953125,2576153281.25,1.00141275e+11,6151.934375,4.78730534987,-0.177739544944,True
9,"Oct 29, 2017",5900.52960938,6127.95898438,5829.21914063,6021.85976563,1990036640.62,98255437500.0,5961.1946875,4.61590086841,-0.171404481454,True
10,"Oct 28, 2017",5787.82,5876.72,5689.19,5753.09,1403920000.0,96369600000.0,5770.455,4.44449638696,-0.171404481454,False
11,"Oct 27, 2017",5899.74,5988.39,5728.82,5780.9,1710130000.0,98225400000.0,5840.32,4.50727919978,0.0627828128154,False
12,"Oct 26, 2017",5747.95,5976.8,5721.22,5904.83,1905040000.0,95685100000.0,5826.39,4.49476127832,-0.0125179214559,True
